Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,W,L,Team_Win%,League_Rank,MOV,ORtg,DRtg,Pace,FTr,eFG%,TOV%,ORB%,DRB%,opponent_eFG%,opponnent_TOV%
1994-95,NBA,David Robinson,29,SAS,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,62,20,0.756097561,1,5.96,111.7,105.4,94.6,0.372,0.516,13.8,30.9,72.3,0.485,13
1993-94,NBA,Hakeem Olajuwon,31,HOU,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,58,24,0.707317073,2,4.32,105.9,101.4,95,0.294,0.507,15,27.6,69.7,0.458,13.3
1992-93,NBA,Charles Barkley,29,PHO,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,62,20,0.756097561,1,6.66,113.3,106.7,99.8,0.358,0.521,14.2,33,69.2,0.496,13.9
1991-92,NBA,Michael Jordan,28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,67,15,0.817073171,1,10.44,115.5,104.5,94.4,0.297,0.518,11.8,35.1,69.3,0.476,14.1
1990-91,NBA,Michael Jordan,27,CHI,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,61,21,0.743902439,2,9.1,114.6,105.2,95.6,0.296,0.521,12.8,34.7,68.8,0.488,15.3
1989-90,NBA,Magic Johnson,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,63,19,0.768292683,1,6.78,114,107,96.3,0.345,0.512,13.2,32.8,68.5,0.479,12.8
1988-89,NBA,Magic Johnson,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,57,25,0.695121951,2,7.17,113.8,106.7,100.1,0.351,0.518,14,33,68.9,0.482,13
1987-88,NBA,Michael Jordan,24,CHI,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,50,32,0.609756098,7,3.4,109,105.5,95.5,0.317,0.494,13.6,34,70.6,0.478,13.5
1986-87,NBA,Magic Johnson,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,65,17,0.792682927,1,9.3,115.6,106.5,101.6,0.352,0.528,14,34.1,66.3,0.476,13.8
1985-86,NBA,Larry Bird,29,BOS,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,67,15,0.817073171,1,9.41,111.8,102.6,101.2,0.307,0.518,14.1,31.3,71.7,0.466,13
1984-85,NBA,Larry Bird,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,63,19,0.768292683,1,6.65,112.8,106.3,101.6,0.315,0.515,13.8,32.8,70.4,0.481,12.6
1983-84,NBA,Larry Bird,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,62,20,0.756097561,1,6.56,110.9,104.4,99.7,0.333,0.504,14.6,34.2,69.7,0.475,13.8
1982-83,NBA,Moses Malone,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,65,17,0.792682927,1,7.67,108.3,100.9,102.7,0.367,0.501,16.3,37.1,66.2,0.464,15.8
1981-82,NBA,Moses Malone,26,HOU,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,46,36,0.56097561,7,-0.04,108.3,108.3,97.2,0.302,0.479,13.7,37.8,66.1,0.5,14.3
1980-81,NBA,Julius Erving,30,PHI,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,62,20,0.756097561,1,7.85,107,99.5,103.4,0.343,0.515,17.3,32.3,67.1,0.454,16.3
